Time period and codes,Recreation and culture,Audio-visual etc equipment,Audio visual and recording equipment,Photographic etc equipment,Information processing equipment,Recording media,Repairs of audio-visual etc equipment,Other major durables for recreation and culture,Major durables for outdoor recreation,Musical instruments and major durables for indoor recreation,Maintenance and repairs of other major durables,"Other recreational items and equipment, gardens and pets","Games, toys and hobbies","Equipment for sport, camping and open-air recreation","Garden, plants and flowers",Pets and related products,Veterinary and other services for pets,Recreational and  cultural services,Recreational and sporting services,Cultural services,Games of chance,"Newspapers, books and stationery",Books,Newspapers,Miscellaneous printed matter,Stationery and drawing materials,"Package holidays
[note 2]","Other Package holidays
[note 2]"
COICOP identifier code,09,09.1,09.1.1,09.1.2,09.1.3,09.1.4,09.1.5,09.2,09.2.1,09.2.2,09.2.3,09.3,09.3.1,09.3.2,09.3.3,09.3.4,09.3.5,09.4,09.4.1,09.4.2,09.4.3,09.5,09.5.1,09.5.2,09.5.3,09.5.4,09.6,09.6.1
CDID identifier code,ADGY,ADGZ,ADWQ,ADWR,ADWS,ADWT,ADWU,ADHL,ADWV,ADWW,ADWX,ADHZ,ADWY,ADWZ,AWTW,ADXB,ADXC,ADIA,ADXD,ADXE,CDEM,ADIC,CDEO,CDEP,ADXI,ADXJ,ADID,ADID 2
2011 Q1,"24,238","4,172","1,315",402,"1,388","1,027",40,"2,154","1,571",137,446,"5,678","1,862",827,"1,176","1,314",499,"9,094","2,271","4,293","2,530","3,140",656,"1,268",771,445, [x] , [x] 
2011 Q2,"25,076","3,952","1,233",390,"1,260","1,029",40,"1,974","1,463",59,452,"6,363","1,873","1,081","1,665","1,259",485,"9,752","2,649","4,694","2,409","3,035",617,"1,256",676,486, [x] , [x] 
2011 Q3,"23,955","4,162","1,319",386,"1,344","1,070",43,"1,856","1,368",30,458,"5,824","2,010","1,157",845,"1,268",544,"8,992","2,308","4,377","2,307","3,121",681,"1,251",686,503, [x] , [x] 
2011 Q4,"26,569","5,736","1,822",449,"1,854","1,571",40,"1,895","1,226",205,464,"6,486","2,567","1,296",800,"1,264",559,"8,513","1,800","4,329","2,384","3,939","1,169","1,210","1,082",478, [x] , [x] 
2012 Q1,"22,919","3,716","1,347",240,"1,108",989,32,"2,025","1,465",90,470,"5,430","1,671",837,"1,127","1,263",532,"8,834","2,371","4,114","2,349","2,914",643,"1,152",653,466, [x] , [x] 
2012 Q2,"23,739","3,507","1,245",212,"1,028",995,27,"2,051","1,491",83,477,"6,061","1,722","1,003","1,524","1,294",518,"9,275","2,453","4,378","2,444","2,845",548,"1,148",672,477, [x] , [x] 
2012 Q3,"24,920","3,711","1,279",212,"1,074","1,113",33,"1,963","1,423",56,484,"5,759","1,839","1,210",846,"1,352",512,"10,437","3,185","4,855","2,397","3,050",642,"1,227",644,537, [x] , [x] 
2012 Q4,"27,263","5,593","1,850",277,"1,534","1,895",37,"1,916","1,183",240,493,"6,434","2,389","1,312",783,"1,412",538,"9,322","1,912","4,878","2,532","3,998","1,255","1,200","1,062",481, [x] , [x] 
2013 Q1,"24,072","3,600","1,211",112,"1,181","1,065",31,"2,010","1,432",75,503,"5,625","1,698",893,953,"1,479",602,"9,788","2,446","4,803","2,539","3,049",633,"1,201",723,492, [x] , [x] 
2013 Q2,"25,637","3,832","1,160",129,"1,245","1,265",33,"2,105","1,511",79,515,"6,367","1,887","1,017","1,386","1,494",583,"10,289","2,630","4,944","2,715","3,044",594,"1,198",743,509, [x] , [x] 
